term_id;term_name;term_source;He_down;He_up;Lind_down;Lind_up;Car_down;Car_up;Bai_F_abd_down;Bai_F_abd_up;Bai_F_head_down;Bai_F_head_up;Bai_M_abd_down;Bai_M_abd_up;Bai_M_head_down;Bai_M_head_up;He_down_cov;He_up_cov;Lind_down_cov;Lind_up_cov;Car_down_cov;Car_up_cov;Bai_F_abd_down_cov;Bai_F_abd_up_cov;Bai_F_head_down_cov;Bai_F_head_up_cov;Bai_M_abd_down_cov;Bai_M_abd_up_cov;Bai_M_head_down_cov;Bai_M_head_up_cov
GO:0043169;cation binding;GO:MF;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0.003875968992248062;0.006090808416389812;0.007198228128460687;0.009413067552602437;0.0010400416016640667;0.0020800832033281333;0.008859357696566999;0.02159468438538206;0.01716500553709856;0.0022148394241417496;0.015503875968992248;0.011627906976744186;0.019933554817275746;0
GO:0046872;metal ion binding;GO:MF;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0.0033500837520938024;0.006141820212171971;0.0072585147962032385;0.009491903964265773;0.0010438413361169101;0.0020876826722338203;0.00893355667225014;0.021775544388609715;0.01619207146845338;0.002233389168062535;0.013958682300390842;0.011725293132328308;0.018983807928531545;0
GO:0016787;hydrolase activity;GO:MF;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0.0027100271002710027;0.008130081300813009;0.008130081300813009;0.011924119241192412;0.0062932662051604785;0.005663939584644431;0.00921409214092141;0.015176151761517615;0.012466124661246613;0.0016260162601626016;0.024390243902439025;0.007046070460704607;0.02168021680216802;0
GO:0005509;calcium ion binding;GO:MF;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0.014634146341463415;0.00975609756097561;0.00975609756097561;0.00975609756097561;0;0;0.004878048780487805;0.07317073170731707;0.00975609756097561;0.00975609756097561;0.00975609756097561;0.03902439024390244;0.00975609756097561;0
GO:0016788;hydrolase activity, acting on ester bonds;GO:MF;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0.0055762081784386614;0.0018587360594795538;0.01486988847583643;0.00929368029739777;0.0025575447570332483;0.0025575447570332483;0.013011152416356878;0.00929368029739777;0.007434944237918215;0.0037174721189591076;0.024163568773234202;0.0037174721189591076;0.026022304832713755;0
GO:0042302;structural constituent of cuticle;GO:MF;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0.0125;0;0;0;0.0044444444444444444;0;0;0.03125;0;0;0.0125;0;0.0125;0
GO:0022857;transmembrane transporter activity;GO:MF;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0.0025906735751295338;0.025906735751295335;0.0051813471502590676;0.019430051813471502;0.0017123287671232876;0.0017123287671232876;0.007772020725388601;0.015544041450777202;0.009067357512953367;0;0.009067357512953367;0.007772020725388601;0.0051813471502590676;0
GO:0022836;gated channel activity;GO:MF;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0.010416666666666666;0;0;0.005208333333333333;0;0;0.010416666666666666;0.020833333333333332;0.005208333333333333;0;0;0.015625;0;0
GO:0022803;passive transmembrane transporter activity;GO:MF;1;1;0;1;1;0;1;1;1;0;1;1;1;0;0.0072992700729927005;0.010948905109489052;0;0.0072992700729927005;0.004830917874396135;0;0.0072992700729927005;0.01824817518248175;0.0072992700729927005;0;0.0036496350364963502;0.014598540145985401;0.0036496350364963502;0
GO:0005216;ion channel activity;GO:MF;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0.007782101167315175;0.011673151750972763;0;0.007782101167315175;0.005025125628140704;0;0.007782101167315175;0.019455252918287938;0.0038910505836575876;0;0;0.01556420233463035;0;0
