term_id	term_name	Dm_F_wh_L	Dm_F_ov	Dp_F_ab	Dp_F_hd	Dp_M_ab	Dp_M_hd	Dm_F_wh_D	Dm_M_ts	Af_F_wh
GO:0000795	synaptonemal complex	1	0	1	0	0	0	0	0	0
GO:0099086	synaptonemal structure	1	0	1	0	0	0	0	0	0
GO:0005616	larval serum protein complex	1	0	0	0	1	0	0	0	0
GO:0030678	mitochondrial ribonuclease P complex	1	0	0	1	0	0	0	0	0
GO:0000502	proteasome complex	1	0	0	0	0	0	0	0	0
GO:0000794	condensed nuclear chromosome	1	0	1	0	0	0	0	0	0
GO:0005811	lipid droplet	1	0	0	0	0	1	0	0	0
GO:0016324	apical plasma membrane	1	1	1	0	0	0	0	0	0
GO:0098636	protein complex involved in cell adhesion	1	0	1	0	0	0	0	0	0
GO:0098830	presynaptic endosome	1	0	0	0	0	0	0	0	0
GO:1905369	endopeptidase complex	1	0	0	0	0	0	0	0	0
GO:1990604	IRE1-TRAF2-ASK1 complex	1	0	0	0	0	0	0	0	0
GO:0098590	plasma membrane region	1	0	1	0	1	0	0	0	0
GO:0031597	cytosolic proteasome complex	1	0	0	0	0	0	0	0	0
GO:0030062	mitochondrial tricarboxylic acid cycle enzyme complex	0	1	0	0	1	0	0	0	0
GO:0071944	cell periphery	0	1	1	1	0	0	1	0	0
GO:0045240	dihydrolipoyl dehydrogenase complex	0	1	0	0	1	0	0	0	0
GO:0044391	ribosomal subunit	0	1	0	1	0	0	0	0	1
GO:0044214	spanning component of plasma membrane	0	1	0	0	0	0	0	0	0
GO:0034703	cation channel complex	0	1	1	0	0	0	0	0	1
GO:0034702	ion channel complex	0	1	1	0	0	0	0	0	1
GO:0031901	early endosome membrane	0	1	0	0	0	0	0	0	0
GO:0031233	intrinsic component of external side of plasma membrane	0	1	1	1	0	0	0	0	0
GO:0031224	intrinsic component of membrane	0	1	0	1	0	0	1	0	0
GO:1990204	oxidoreductase complex	0	1	1	0	1	0	1	0	0
GO:1990351	transporter complex	0	1	1	0	0	0	0	0	1
GO:0030312	external encapsulating structure	0	1	1	0	0	0	1	1	0
GO:0089717	spanning component of membrane	0	1	0	0	0	0	0	0	0
GO:0022626	cytosolic ribosome	0	1	0	1	0	0	0	0	0
GO:1902495	transmembrane transporter complex	0	1	1	0	0	0	0	0	1
GO:0019005	SCF ubiquitin ligase complex	0	1	0	0	0	0	0	0	0
GO:0005705	polytene chromosome interband	0	1	0	0	0	0	0	0	0
GO:0005769	early endosome	0	1	0	0	0	0	0	0	0
GO:0005840	ribosome	0	1	0	1	0	0	0	0	1
GO:0005886	plasma membrane	0	1	1	1	0	0	1	0	0
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex	0	1	0	0	1	0	0	0	0
GO:0022625	cytosolic large ribosomal subunit	0	1	0	1	0	0	0	0	0
